Station-ID;Station-Name;Lat;Long;Startvorgänge;Endvorgänge
242622;Tel-Aviv Platz;8.628983;50.107215;132;147
242625;Radisson Blu Hotel;8.627663;50.117331;79;84
242629;Campus Westend / Hansa-Allee;8.669664;50.129118;338;283
242934;Sportcampus Ginnheim;8.645245;50.131554;319;310
244166;Campus Riedberg Mensa;8.631916;50.171669;5;1
245414;Lindner Hotel Main Plaza;8.69582;50.106335;161;181
247491;Lyoner Str. / Herriotstr.;8.62816;50.08217;42;44
247511;Kaiserlei Ausgang Brüsseler Platz;8.736539;50.105198;24;21
247515;Kaiserlei Ausgang Berliner Straße;8.740872;50.105227;84;86
249808;Mövenpick Hotel;8.651029;50.109921;15;18
249810;DB Fernverkehr ;8.621186;50.092569;81;85
250311;Platz der Republik;8.66119;50.109555;182;189
250321;François-Mitterrand-Platz;8.665151;50.110749;461;461
250323;Weserstraße;8.670815;50.107325;150;157
250324;Wiesenhüttenplatz;8.66695;50.104961;160;157
250325;Grüneburgweg / Leerbachstraße;8.672356;50.121072;409;437
250326;Berger Straße / Hermesweg;8.692223;50.11857;166;189
250334;Hanauer Landstraße 287;8.725688;50.116188;166;185
250335;Eckenheimer Landstraße / Holzhausenstraße;8.684428;50.128298;50;52
250337;Martin-Elsässer-Platz;8.696855;50.109006;152;149
250338;Frankenallee/Rebstöcker Straße;8.626494;50.102899;110;107
250339;Am Römerhof / Europa-Allee;8.62235;50.108003;95;83
250341;Rebstockbad;8.618666;50.113036;83;89
250342;Mainzer Landstraße / Rüsselsheimer Straße;8.620851;50.100873;116;138
250346;Stadtbücherei Griesheim;8.607427;50.095134;59;71
250348;S-Bahn Station Griesheim Südseite;8.607354;50.093988;162;172
250349;Griesheimer Stadtweg / Schöffenstraße;8.615251;50.091333;79;70
250370;Geschwister-Scholl-Straße / Kollwitzstraße ;8.609607;50.135637;25;21
250372;U-Bahn Station Praunheim Heerstraße;8.607478;50.144871;13;12
250374;Damaschkeanger / Heerstraße ;8.618614;50.14907;44;43
250377;In der Au / Westerbachstraße ;8.599254;50.122375;13;13
250380;Melanchthonplatz;8.727924;50.098068;39;32
250383;Balduinstraße;8.715439;50.097691;35;33
250385;Gemündener Straße / Miltenberger Straße;8.699512;50.095892;37;38
250387;Cronstettenstraße / Klettenbergstraße;8.679296;50.129622;31;33
250396;Glauburgstraße / Weberstraße;8.68655;50.126627;335;366
